chid,views,subscriber,videoscount,date
UC6ROKPXrnzfhNYST1w,3302429,2087,4,10/1/2016
UC6ROKPXrnzfhNYST1w,3304705,2087,4,10/2/2016
UC6ROKPXrnzfhNYST1w,3306526,2090,4,10/3/2016
UC6ROKPXrnzfhNYST1w,3309092,2090,4,10/4/2016
UC6ROKPXrnzfhNYST1w,3311343,2090,4,10/5/2016
UC6ROKPXrnzfhNYST1w,3313549,2091,4,10/6/2016
UC6ROKPXrnzfhNYST1w,3316519,2092,4,10/7/2016
UC6ROKPXrnzfhNYST1w,3319146,2091,4,10/8/2016
UC6ROKPXrnzfhNYST1w,3321635,2093,4,10/9/2016
UC6ROKPXrnzfhNYST1w,3324611,2094,4,10/10/2016
UC6ROKPXrnzfhNYST1w,3327683,2096,4,10/11/2016
UC6ROKPXrnzfhNYST1w,3331052,2098,4,10/12/2016
UC6ROKPXrnzfhNYST1w,3331052,2098,4,10/13/2016
UC6ROKPXrnzfhNYST1w,3335704,2100,4,10/14/2016
UC6ROKPXrnzfhNYST1w,3339653,2104,4,10/15/2016
UC6ROKPXrnzfhNYST1w,3343685,2107,4,10/16/2016
UC6ROKPXrnzfhNYST1w,3346412,2107,4,10/17/2016
UC6ROKPXrnzfhNYST1w,3348952,2109,4,10/18/2016
UC6ROKPXrnzfhNYST1w,3351502,2110,4,10/19/2016
UC6ROKPXrnzfhNYST1w,3355287,2113,4,10/20/2016
UC6ROKPXrnzfhNYST1w,3355287,2114,4,10/21/2016
UC6ROKPXrnzfhNYST1w,3363102,2118,4,10/22/2016
UC6ROKPXrnzfhNYST1w,3367243,2119,4,10/23/2016
UC6ROKPXrnzfhNYST1w,3367243,2122,4,10/24/2016
UC6ROKPXrnzfhNYST1w,3372972,2123,4,10/25/2016
UC6ROKPXrnzfhNYST1w,3375730,2124,4,10/26/2016
UC6ROKPXrnzfhNYST1w,3379522,2126,4,10/27/2016
UC6ROKPXrnzfhNYST1w,3383486,2128,4,10/28/2016
UC6ROKPXrnzfhNYST1w,3387252,2124,4,10/29/2016
UC6ROKPXrnzfhNYST1w,3391743,2125,4,10/30/2016
UC6ROKPXrnzfhNYST1w,3395809,2127,4,10/31/2016
UC6ROKPXrnzfhNYST1w,3398061,2129,4,11/1/2016
UC6ROKPXrnzfhNYST1w,3400360,2131,4,11/2/2016
UC6ROKPXrnzfhNYST1w,3402841,2131,4,11/3/2016
UC6ROKPXrnzfhNYST1w,3405298,2131,4,11/4/2016
UC6ROKPXrnzfhNYST1w,3405298,2132,4,11/5/2016
UC6ROKPXrnzfhNYST1w,3410614,2132,4,11/6/2016
UC6ROKPXrnzfhNYST1w,3412427,2133,4,11/7/2016
UC6ROKPXrnzfhNYST1w,3415451,2134,4,11/8/2016
UC6ROKPXrnzfhNYST1w,3417540,2134,4,11/9/2016
UC6ROKPXrnzfhNYST1w,3419039,2135,4,11/10/2016
UC6ROKPXrnzfhNYST1w,3420719,2137,4,11/11/2016
UC6ROKPXrnzfhNYST1w,3422616,2137,4,11/12/2016
UC6ROKPXrnzfhNYST1w,3424481,2137,4,11/13/2016
UC6ROKPXrnzfhNYST1w,3426470,2137,4,11/14/2016
