chid,views,subscriber,videoscount,date
UC6_aLZwre0yxXvhwNw,172248,1127,117,10/1/2016
UC6_aLZwre0yxXvhwNw,172324,1127,117,10/2/2016
UC6_aLZwre0yxXvhwNw,172406,1127,117,10/3/2016
UC6_aLZwre0yxXvhwNw,172526,1129,117,10/4/2016
UC6_aLZwre0yxXvhwNw,172619,1129,117,10/5/2016
UC6_aLZwre0yxXvhwNw,172726,1131,117,10/6/2016
UC6_aLZwre0yxXvhwNw,172808,1131,117,10/7/2016
UC6_aLZwre0yxXvhwNw,172862,1131,117,10/8/2016
UC6_aLZwre0yxXvhwNw,172925,1131,117,10/9/2016
UC6_aLZwre0yxXvhwNw,172985,1134,117,10/10/2016
UC6_aLZwre0yxXvhwNw,173064,1135,117,10/11/2016
UC6_aLZwre0yxXvhwNw,173135,1135,117,10/12/2016
UC6_aLZwre0yxXvhwNw,173135,1136,117,10/13/2016
UC6_aLZwre0yxXvhwNw,173306,1136,117,10/14/2016
UC6_aLZwre0yxXvhwNw,173387,1136,117,10/15/2016
UC6_aLZwre0yxXvhwNw,173445,1135,117,10/16/2016
UC6_aLZwre0yxXvhwNw,173486,1136,117,10/17/2016
UC6_aLZwre0yxXvhwNw,173573,1135,117,10/18/2016
UC6_aLZwre0yxXvhwNw,173656,1136,117,10/19/2016
UC6_aLZwre0yxXvhwNw,173746,1136,117,10/20/2016
UC6_aLZwre0yxXvhwNw,173746,1136,117,10/21/2016
UC6_aLZwre0yxXvhwNw,173890,1138,117,10/22/2016
UC6_aLZwre0yxXvhwNw,173946,1138,117,10/23/2016
UC6_aLZwre0yxXvhwNw,173946,1138,117,10/24/2016
UC6_aLZwre0yxXvhwNw,174077,1140,117,10/25/2016
UC6_aLZwre0yxXvhwNw,174163,1141,117,10/26/2016
UC6_aLZwre0yxXvhwNw,174246,1142,117,10/27/2016
UC6_aLZwre0yxXvhwNw,174322,1141,117,10/28/2016
UC6_aLZwre0yxXvhwNw,174386,1141,117,10/29/2016
UC6_aLZwre0yxXvhwNw,174444,1143,117,10/30/2016
UC6_aLZwre0yxXvhwNw,174540,1143,117,10/31/2016
UC6_aLZwre0yxXvhwNw,174617,1141,117,11/1/2016
UC6_aLZwre0yxXvhwNw,174697,1144,117,11/2/2016
UC6_aLZwre0yxXvhwNw,174750,1144,117,11/3/2016
UC6_aLZwre0yxXvhwNw,174824,1144,117,11/4/2016
UC6_aLZwre0yxXvhwNw,174824,1144,117,11/5/2016
UC6_aLZwre0yxXvhwNw,174979,1144,117,11/6/2016
UC6_aLZwre0yxXvhwNw,175064,1144,117,11/7/2016
UC6_aLZwre0yxXvhwNw,175140,1144,117,11/8/2016
UC6_aLZwre0yxXvhwNw,175207,1144,117,11/9/2016
UC6_aLZwre0yxXvhwNw,175273,1146,117,11/10/2016
UC6_aLZwre0yxXvhwNw,175332,1146,117,11/11/2016
UC6_aLZwre0yxXvhwNw,175413,1149,117,11/12/2016
UC6_aLZwre0yxXvhwNw,175466,1148,117,11/13/2016
UC6_aLZwre0yxXvhwNw,175497,1149,117,11/14/2016
UC6_aLZwre0yxXvhwNw,175544,1150,117,11/15/2016
UC6_aLZwre0yxXvhwNw,175544,1150,117,11/16/2016
UC6_aLZwre0yxXvhwNw,175646,1150,117,11/17/2016
UC6_aLZwre0yxXvhwNw,175704,1150,117,11/18/2016
UC6_aLZwre0yxXvhwNw,175752,1150,117,11/19/2016
UC6_aLZwre0yxXvhwNw,175795,1150,117,11/20/2016
UC6_aLZwre0yxXvhwNw,175855,1150,117,11/21/2016
UC6_aLZwre0yxXvhwNw,175932,1150,117,11/22/2016
UC6_aLZwre0yxXvhwNw,175958,1151,117,11/23/2016
UC6_aLZwre0yxXvhwNw,176020,1151,117,11/24/2016
UC6_aLZwre0yxXvhwNw,176078,1150,117,11/25/2016
UC6_aLZwre0yxXvhwNw,176143,1150,117,11/26/2016
UC6_aLZwre0yxXvhwNw,176190,1150,117,11/27/2016
UC6_aLZwre0yxXvhwNw,176249,1152,117,11/28/2016
UC6_aLZwre0yxXvhwNw,176426,1152,117,11/29/2016
UC6_aLZwre0yxXvhwNw,176406,1152,117,11/30/2016
UC6_aLZwre0yxXvhwNw,176406,1152,117,12/1/2016
UC6_aLZwre0yxXvhwNw,176406,1152,117,12/2/2016
UC6_aLZwre0yxXvhwNw,176406,1152,118,12/3/2016
UC6_aLZwre0yxXvhwNw,176406,1152,118,12/4/2016
UC6_aLZwre0yxXvhwNw,176717,1153,118,12/5/2016
UC6_aLZwre0yxXvhwNw,176920,1153,118,12/6/2016
UC6_aLZwre0yxXvhwNw,176920,1153,118,12/7/2016
UC6_aLZwre0yxXvhwNw,177219,1153,118,12/8/2016
UC6_aLZwre0yxXvhwNw,177279,1152,118,12/9/2016
UC6_aLZwre0yxXvhwNw,177365,1152,118,12/10/2016
UC6_aLZwre0yxXvhwNw,177441,1152,118,12/11/2016
UC6_aLZwre0yxXvhwNw,177494,1154,118,12/12/2016
UC6_aLZwre0yxXvhwNw,177562,1153,118,12/13/2016
UC6_aLZwre0yxXvhwNw,177670,1153,118,12/14/2016
UC6_aLZwre0yxXvhwNw,177715,1153,118,12/15/2016
UC6_aLZwre0yxXvhwNw,177809,1154,119,12/16/2016
UC6_aLZwre0yxXvhwNw,177809,1156,119,12/17/2016
UC6_aLZwre0yxXvhwNw,178126,1156,119,12/18/2016
UC6_aLZwre0yxXvhwNw,178195,1156,119,12/19/2016
UC6_aLZwre0yxXvhwNw,178280,1157,119,12/20/2016
UC6_aLZwre0yxXvhwNw,178369,1157,119,12/21/2016
UC6_aLZwre0yxXvhwNw,178478,1157,119,12/22/2016
UC6_aLZwre0yxXvhwNw,178552,1157,119,12/23/2016
