"vidid","adviews"
"VID_1054",45796
"VID_18629",44516
"VID_13967",194
"VID_19442",1421
"VID_770",1853
"VID_10315",16
"VID_7417",126
"VID_17788",563
"VID_14591",216
"VID_1228",46267
"VID_10153",33
"VID_5667",542
"VID_22775",768
"VID_8353",876
"VID_486",257
"VID_17460",1496
"VID_5867",214
"VID_15951",4
"VID_14890",365
"VID_7219",3229
"VID_20045",1780
"VID_11874",418
"VID_1208",62023
"VID_4529",2453
"VID_6793",27773
"VID_18254",147
"VID_11155",194
"VID_12257",471
"VID_4207",66
"VID_23276",4277
"VID_18261",309
"VID_11536",1499
"VID_6429",25
"VID_9277",550
"VID_517",526
"VID_11291",84419
"VID_11265",298
"VID_632",891
"VID_13587",9412
"VID_16439",4165
"VID_14888",3570
"VID_3207",398
"VID_9352",634
"VID_3286",140
"VID_19592",22
"VID_15582",22
"VID_15269",35379
"VID_5703",4755
"VID_22315",449
"VID_14939",322
"VID_18277",3344
"VID_1684",1677
"VID_14842",269
"VID_635",7
"VID_19621",548
"VID_2006",862
"VID_2427",964
"VID_3232",6
"VID_17944",44422
"VID_19507",213
"VID_6745",592
"VID_8446",940
"VID_17593",4876
"VID_21611",5223
"VID_16242",77
"VID_23409",1568
"VID_22950",1084
"VID_15401",273
"VID_7634",6838
"VID_4283",40
"VID_20020",1200
"VID_13334",4648
"VID_17504",440
"VID_22854",94406
"VID_4396",1566
"VID_7426",242
"VID_1941",22403
"VID_22447",212
"VID_13156",1903
"VID_6361",713
"VID_1601",494
"VID_5787",28005
"VID_15044",4034
"VID_18511",96017
"VID_17965",475
"VID_20023",5330
"VID_20294",150
"VID_4284",7405
"VID_6333",109
"VID_4459",188
"VID_7896",652
"VID_14003",947
"VID_22518",657
"VID_12272",977
"VID_1002",21554
"VID_2801",467
"VID_85",922
"VID_17535",1041
"VID_16710",15
"VID_7899",295
"VID_3336",678
"VID_966",478
"VID_15920",468
"VID_9048",19
"VID_10819",1214
"VID_9004",407
"VID_8038",713
"VID_22273",31641
"VID_9597",1549
"VID_405",75
"VID_6857",44238
"VID_745",424
"VID_22181",746
"VID_2452",233
"VID_16534",1969
"VID_8504",744
"VID_6211",223
"VID_7421",435
"VID_19004",198
"VID_21560",1110
"VID_6904",4937
"VID_10068",847
"VID_3831",2190
"VID_523",1216
"VID_21181",47148
"VID_9556",1685
"VID_1140",80075
"VID_18078",167
"VID_13326",1784
"VID_21883",72145
"VID_18044",4982
"VID_11715",632
"VID_7741",163
"VID_23167",172
"VID_4147",11
"VID_12377",7020
"VID_16014",1418
"VID_21928",3935
"VID_22002",2524
"VID_19194",414
"VID_17892",1498
"VID_19234",610
"VID_1790",1035
"VID_7878",748
"VID_6945",577
"VID_17600",226
"VID_7502",734
"VID_11761",797
"VID_578",181
"VID_2068",2086
"VID_10591",31
"VID_1300",74212
"VID_2950",230
"VID_12930",576
"VID_22247",1925
"VID_4330",11900
"VID_14398",17817
"VID_8506",46841
"VID_12462",730
"VID_21697",635
"VID_14574",98
"VID_14171",479
"VID_22620",3914
"VID_5642",19
"VID_12689",1205
"VID_3676",142
"VID_23515",146
"VID_11336",2540
"VID_8360",3601
"VID_14293",65305
"VID_7088",21
"VID_11588",6721
"VID_12193",1691
"VID_18944",458
"VID_14220",1504
"VID_2589",249
"VID_17644",3565
"VID_20263",36
"VID_15204",389
"VID_6855",47030
"VID_19306",154
"VID_20132",1350
"VID_18477",21846
"VID_4562",139
"VID_17001",539
"VID_6858",29308
"VID_20250",167
"VID_22484",521
"VID_2358",1339
"VID_17132",49766
"VID_19635",8
"VID_20188",922
"VID_1272",21532
"VID_2390",413
"VID_10914",770
"VID_9647",3032
"VID_11219",331
"VID_13260",1917
"VID_21600",1132
"VID_12441",621
"VID_15261",32090
"VID_11540",794
"VID_20101",512
"VID_3909",112
"VID_14409",950
"VID_10430",3
"VID_8148",730
"VID_9579",1549
"VID_12302",387
"VID_7161",119
"VID_17471",256
"VID_13296",14
"VID_1935",45295
"VID_23277",487
"VID_20389",331
"VID_2988",813
"VID_5453",16
"VID_6553",13215
"VID_18356",65490
"VID_15268",1894
"VID_21503",10
"VID_6901",35885
"VID_5796",19285
"VID_21475",474
"VID_19600",898
"VID_7977",2326
"VID_4704",266
"VID_20858",4773
"VID_23644",885
"VID_12962",651
"VID_4894",277
"VID_4803",1733
"VID_8408",15
"VID_12226",442
"VID_1299",22591
"VID_7721",1113
"VID_1919",43584
"VID_23316",163
"VID_17849",1049
"VID_1313",448
"VID_9117",1341
"VID_9152",918
"VID_15543",86
"VID_11505",384
"VID_647",1398
"VID_2236",844
"VID_14118",18207
"VID_1225",83845
"VID_11257",1186
"VID_13130",2924
"VID_12580",1959
"VID_860",777
"VID_14251",479
"VID_6476",111
"VID_13070",4
"VID_4623",51672
"VID_13599",2394
"VID_11705",194
"VID_11736",329
"VID_14145",4049
"VID_13264",508
"VID_10476",7336
"VID_22755",924
"VID_13294",45
"VID_964",43451
"VID_23498",2260
"VID_12090",40775
"VID_7494",654
"VID_141",19563
"VID_242",2714
"VID_8088",4962
"VID_10154",409
"VID_3878",3146
"VID_4799",585
"VID_12287",57625
"VID_15607",740
"VID_9974",17823
"VID_20032",1148
"VID_9920",577
"VID_7959",1149
"VID_21506",85
"VID_15898",432
"VID_4349",3901
"VID_16235",12809
"VID_6391",422
"VID_4940",10
"VID_16185",165
"VID_6988",95
"VID_877",1439
"VID_23610",2063
"VID_17702",24
"VID_18664",449
"VID_9915",2405
"VID_4438",2386
"VID_15812",67
"VID_15966",2102
"VID_2832",2247
"VID_20533",18
"VID_12692",336
"VID_11340",734
"VID_10760",1173
"VID_19631",297
"VID_7012",1512
"VID_7799",1690
"VID_3963",200
"VID_501",1140
"VID_9202",166
"VID_14268",314
"VID_21714",757
"VID_23154",211
"VID_4429",137
"VID_16062",66
"VID_6282",443
"VID_13205",3083
"VID_8515",726
"VID_9480",421
"VID_21979",13477
"VID_18494",17465
"VID_20589",1274
"VID_15916",3162
"VID_17023",97
"VID_8425",142
